Benevolence,Universal,Self-direction,Stimulation,Hedonism,Achievement ,Power,Security,Conformity,Tradition,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1.0,0.867,0.6,0.6,1.0,0.7,0.6,1.0,1.0,0.9,0.55,0.5,0.438,0.639,0.75
0.8,0.667,0.4,0.5,0.7,0.5,0.5,0.9,0.8,0.8,0.525,0.694,0.469,0.667,0.344
0.7,0.867,0.8,0.8,1.0,1.0,0.7,0.8,0.8,0.9,0.825,0.639,0.625,0.667,0.312
0.8,0.8,0.7,0.8,0.7,1.0,0.8,0.8,0.6,0.6,0.675,0.556,0.656,0.583,0.594
0.7,0.667,0.9,0.5,0.4,0.9,1.0,0.3,0.5,0.6,0.725,0.75,0.594,0.528,0.438
0.8,0.8,0.9,0.9,0.8,0.9,0.5,1.0,0.9,0.8,0.75,0.611,0.594,0.583,0.469
0.7,0.667,0.9,0.6,0.5,1.0,0.9,0.9,0.7,0.7,0.625,0.611,0.469,0.694,0.656
0.9,0.867,0.8,0.8,0.8,0.4,0.3,0.9,0.7,0.8,0.6,0.722,0.438,0.583,0.406
0.9,0.8,1.0,1.0,0.9,0.8,0.8,0.4,0.7,0.8,0.625,0.528,0.438,0.722,0.469
0.9,0.733,0.9,0.8,0.4,0.9,0.8,0.9,0.7,0.9,0.625,0.889,0.625,0.639,0.406
0.9,0.933,0.5,0.9,0.9,0.8,0.6,0.9,0.8,0.9,0.7,0.444,0.594,0.694,0.688
0.9,0.867,0.9,0.2,0.6,0.7,0.1,0.9,0.9,0.7,0.65,0.472,0.594,0.806,0.906
0.9,0.8,0.9,1.0,1.0,0.9,0.6,0.8,0.7,0.9,0.575,0.5,0.594,0.75,0.531
1.0,1.0,1.0,0.9,0.6,0.8,0.1,1.0,0.8,0.7,0.6,0.75,0.625,0.639,0.344
0.8,0.933,0.9,0.8,0.4,0.5,0.5,0.9,0.9,1.0,0.6,0.417,0.469,0.528,0.688
0.9,0.8,0.8,0.5,0.7,0.4,0.2,0.9,0.9,0.9,0.625,0.5,0.344,0.639,0.562
0.8,0.867,0.7,0.5,0.8,0.9,0.6,0.7,0.9,0.9,0.55,0.5,0.5,0.611,0.625
0.8,0.733,0.3,0.6,0.6,0.9,0.5,1.0,1.0,1.0,0.65,0.806,0.469,0.667,0.281
0.9,0.867,0.9,1.0,0.7,1.0,0.1,0.7,0.6,0.8,0.7,0.583,0.5,0.778,0.625
0.8,0.733,0.5,0.5,0.6,0.1,0.4,1.0,0.6,0.5,0.6,0.333,0.625,0.611,0.438
0.9,0.867,1.0,0.9,0.8,1.0,0.3,1.0,0.9,0.9,0.65,0.583,0.594,0.583,0.438
0.7,0.667,0.6,0.4,0.7,0.8,0.8,0.8,0.7,0.8,0.475,0.472,0.5,0.639,0.75
0.8,0.667,0.8,0.4,0.5,0.3,0.4,0.6,0.8,0.8,0.575,0.528,0.562,0.778,0.438
1.0,1.0,1.0,0.9,0.9,1.0,0.6,0.9,1.0,0.9,0.75,0.444,0.625,0.667,0.812
0.8,0.933,0.9,0.6,0.6,0.8,0.5,0.6,1.0,1.0,0.625,0.639,0.562,0.528,0.188
1.0,0.867,0.6,0.6,0.9,0.3,0.3,0.7,0.6,0.9,0.425,0.583,0.469,0.944,0.25
0.6,0.533,0.9,0.5,0.7,0.7,0.7,1.0,0.8,0.8,0.625,0.722,0.438,0.528,0.531
1.0,0.733,0.7,0.6,0.6,1.0,0.4,0.9,0.9,0.8,0.625,0.639,0.438,0.639,0.594
0.9,0.867,1.0,0.8,0.8,0.6,0.0,0.6,0.6,0.9,0.6,0.778,0.5,0.833,0.188
0.6,0.133,0.8,0.6,1.0,1.0,0.6,0.6,0.3,0.6,0.4,0.444,0.375,0.556,0.812
1.0,0.867,0.9,1.0,0.4,0.4,0.8,0.5,0.6,1.0,0.625,0.361,0.5,0.861,0.688
